filename,snr,gaussian,spacings,nu_max,error nu_max,delta nu,error delta nu,mass guess,mass error,radius guess,radius error,spectrum_base,actual_nu_max,actual_delta_nu,actual_mass,actual_radius
spectrum_0_cams24_vmag7.35.pow,TRUE,True,True,3438.172595547411,17.287779717268485,140.47619047619048,3.4285714285714164,1.0279034798532205,0.0600943165358155,0.9809183182477748,0.0174954907499623,spectrum_0,3485.8577711832254,144.55817828985252,1.041,0.968780446875246
spectrum_0_cams24_vmag7.45.pow,TRUE,True,True,3489.968021648513,15.740985571986144,149.23809523809524,4.38095238095238,0.8439675550823275,0.0489075187562192,0.8822114005754925,0.0155570113982849,spectrum_0,3485.8577711832254,144.55817828985252,1.041,0.968780446875246
spectrum_0_cams24_vmag8.13.pow,MAYBE,True,True,3423.846354777288,17.13912275654696,149.4920634920635,4.761904761904759,0.7914991519920874,0.0463557051392232,0.8625585951224304,0.0154043839826867,spectrum_0,3485.8577711832254,144.55817828985252,1.041,0.968780446875246
spectrum_0_cams24_vmag8.18.pow,TRUE,True,True,3487.7544147031,11.8930832326037,147.85714285714286,3.920634920634925,0.8742761886527869,0.0506856471745957,0.8981976004987058,0.0158489816445962,spectrum_0,3485.8577711832254,144.55817828985252,1.041,0.968780446875246
spectrum_0_cams24_vmag8.59.pow,MAYBE,True,True,3454.999083366856,19.39803291588138,142.31746031746033,0.8253968253968367,0.990127829265441,0.057721934806342,0.9603779479922926,0.0170680907767171,spectrum_0,3485.8577711832254,144.55817828985252,1.041,0.968780446875246
spectrum_0_cams24_vmag9.69.pow,FALSE,False,False,,,,,,,,,spectrum_0,3485.8577711832254,144.55817828985252,1.041,0.968780446875246
spectrum_1_cams24_vmag7.57.pow,TRUE,True,True,3170.129597382207,21.465342228422603,137.71428571428572,3.365079365079368,0.9278542994933467,0.0568549596825196,0.9606336877481492,0.0181180816538881,spectrum_1,3135.520634736988,134.4620379977023,1.092,1.0330261590510406
spectrum_1_cams24_vmag7.85.pow,TRUE,True,True,3054.1542526619824,21.19900595724343,139.93650793650792,5.9365079365079225,0.7782398841726226,0.0487684783610819,0.8963294934713218,0.01735053737926,spectrum_1,3135.520634736988,134.4620379977023,1.092,1.0330261590510406
spectrum_1_cams24_vmag8.72.pow,TRUE,True,True,3105.2503724275434,17.98550520971838,128.7301587301587,5.6825396825396695,1.1421768619205457,0.0709081530474329,1.0768985605194543,0.0206428474858263,spectrum_1,3135.520634736988,134.4620379977023,1.092,1.0330261590510406
spectrum_1_cams24_vmag8.83.pow,MAYBE,True,True,3134.964002611147,32.291902813351776,139.65079365079364,5.904761904761898,0.8485721063458501,0.0523390614461197,0.9238139700597516,0.0175549020709635,spectrum_1,3135.520634736988,134.4620379977023,1.092,1.0330261590510406
spectrum_1_cams24_vmag9.36.pow,FALSE,True,False,3115.385240991813,29.118839747744616,,,,,,,spectrum_1,3135.520634736988,134.4620379977023,1.092,1.0330261590510406
spectrum_1_cams24_vmag9.56.pow,FALSE,True,True,3075.051618449364,37.31921541656584,139.36507936507937,5.714285714285722,0.8074322181191333,0.0503886215091638,0.9098782022153324,0.0175288607758695,spectrum_1,3135.520634736988,134.4620379977023,1.092,1.0330261590510406
spectrum_2_cams24_vmag7.29.pow,TRUE,True,True,3859.7730621949886,22.254309945651848,160.28571428571428,3.396825396825406,0.9305405389268752,0.0511145389785519,0.8690253293773621,0.0143470237098333,spectrum_2,3835.39116233824,156.51151357720448,0.985,0.9020240464275452
spectrum_2_cams24_vmag7.84.pow,MAYBE,True,True,3698.747111640757,14.736877202332746,155.3015873015873,2.857142857142861,0.9291580457497624,0.0521760680735604,0.8870807354198316,0.0150514718029657,spectrum_2,3835.39116233824,156.51151357720448,0.985,0.9020240464275452
spectrum_2_cams24_vmag8.19.pow,FALSE,True,True,3835.4777437384914,14.62541334379942,157.93650793650792,1.3650793650793671,0.9686291373150768,0.0533822690817088,0.889435997551986,0.0147463339402941,spectrum_2,3835.39116233824,156.51151357720448,0.985,0.9020240464275452
spectrum_2_cams24_vmag8.60.pow,FALSE,True,True,3843.144456242253,28.118218045942346,159.9047619047619,3.904761904761898,0.9273502469782552,0.0510507384669416,0.8694091626497181,0.0143924091077175,spectrum_2,3835.39116233824,156.51151357720448,0.985,0.9020240464275452
spectrum_2_cams24_vmag10.13.pow,FALSE,True,False,2006.6843597049933,33.9692128993,,,,,,,spectrum_2,3835.39116233824,156.51151357720448,0.985,0.9020240464275452
spectrum_2_cams24_vmag10.16.pow,FALSE,True,False,5301.658142088243,65.35002537842925,,,,,,,spectrum_2,3835.39116233824,156.51151357720448,0.985,0.9020240464275452
spectrum_3_cams24_vmag8.14.pow,TRUE,True,True,3270.7351551141023,17.599313711591595,144.65079365079364,5.063492063492063,0.8392417268496599,0.0504658859672812,0.8990814195868855,0.0165748893723833,spectrum_3,3290.86194207133,138.47590745681657,1.062,1.003603710647561
spectrum_3_cams24_vmag9.51.pow,FALSE,False,True,,,159.23809523809524,14.253968253968251,,,,,spectrum_3,3290.86194207133,138.47590745681657,1.062,1.003603710647561
spectrum_3_cams24_vmag10.17.pow,FALSE,False,False,,,,,,,,,spectrum_3,3290.86194207133,138.47590745681657,1.062,1.003603710647561
spectrum_3_cams24_vmag10.27.pow,FALSE,False,False,,,,,,,,,spectrum_3,3290.86194207133,138.47590745681657,1.062,1.003603710647561
spectrum_4_cams24_vmag7.60.pow,TRUE,True,True,3453.2834928423736,11.605462850513172,151.20634920634922,4.2222222222222285,0.8315689602533882,0.0484659971461136,0.8702351448878272,0.0154490523263048,spectrum_4,3497.918313222337,146.80988757261622,1.02,0.9523576745189324
spectrum_4_cams24_vmag7.63.pow,TRUE,True,True,3527.9259033563767,17.215845377054517,147.79365079365078,3.666666666666672,0.97144214209235,0.0559669926901411,0.9305770592552856,0.0162973061526611,spectrum_4,3497.918313222337,146.80988757261622,1.02,0.9523576745189324
spectrum_4_cams24_vmag8.28.pow,MAYBE,True,True,3408.6814125538617,28.21238613545273,151.84126984126985,4.111111111111114,0.7864690057640608,0.0461699939678753,0.8518266037102972,0.0152527696544953,spectrum_4,3497.918313222337,146.80988757261622,1.02,0.9523576745189324
spectrum_4_cams24_vmag8.39.pow,MAYBE,True,True,3495.464126537668,17.271537528295532,150.06349206349208,4.0634920634920775,0.8889882835040211,0.051469485134683,0.8943328714498989,0.0157523855181197,spectrum_4,3497.918313222337,146.80988757261622,1.02,0.9523576745189324
spectrum_4_cams24_vmag8.41.pow,MAYBE,True,True,3547.9523164389893,14.145483561163466,151.71428571428572,5.714285714285722,0.8898342120523183,0.0510963942416961,0.8881151165696239,0.0154867126329351,spectrum_4,3497.918313222337,146.80988757261622,1.02,0.9523576745189324
spectrum_4_cams24_vmag8.68.pow,FALSE,True,True,3518.067785681384,23.84421327297519,146.28571428571428,4.857142857142861,1.0036600229256467,0.0579167228235083,0.947206808705444,0.0166230984285963,spectrum_4,3497.918313222337,146.80988757261622,1.02,0.9523576745189324
spectrum_5_cams24_vmag8.01.pow,TRUE,True,True,3568.293256122348,12.065021878733742,153.015873015873,3.4285714285714164,0.8696264201911147,0.0497783307984823,0.8763356224798735,0.015221497075115,spectrum_5,3530.2841528801323,147.8267359500456,1.013,0.945811788425163
spectrum_5_cams24_vmag8.36.pow,TRUE,True,True,3597.122731246077,25.449285360243515,152.47619047619048,4.666666666666657,0.9035551844819052,0.0514988420443572,0.8896805285721844,0.0153740497774015,spectrum_5,3530.2841528801323,147.8267359500456,1.013,0.945811788425163
