filename,snr,gaussian,spacings,nu_max,error nu_max,delta nu,error delta nu,mass guess,mass error,radius guess,radius error,spectrum_base,actual_nu_max,actual_delta_nu,actual_mass,actual_radius
spectrum_0_cams24_vmag7.02.pow,TRUE,True,True,3460.654985820051,19.472027600128666,146.03174603174602,3.619047619047621,0.8975651843070923,0.0522661268688634,0.9136384348322412,0.0162096203912391,spectrum_0,3485.8577711832254,144.55817828985252,1.041,0.968780446875246
spectrum_0_cams24_vmag7.59.pow,TRUE,True,True,3465.464246591742,24.730089656630334,145.87301587301587,3.4285714285714306,0.9052418387035804,0.0526731355484178,0.916900293352037,0.0162529463260107,spectrum_0,3485.8577711832254,144.55817828985252,1.041,0.968780446875246
spectrum_0_cams24_vmag7.61.pow,TRUE,True,True,3490.04764811121,33.348371894014925,144.85714285714286,3.0793650793650897,0.9508556838773848,0.0551154171968788,0.9364015830888897,0.0165240658902919,spectrum_0,3485.8577711832254,144.55817828985252,1.041,0.968780446875246
spectrum_0_cams24_vmag8.14.pow,MAYBE,True,True,3498.9113982322056,12.72214002604774,147.42857142857142,5.603174603174594,0.8930019441661855,0.0516817930153828,0.906317244832488,0.0159597103502202,spectrum_0,3485.8577711832254,144.55817828985252,1.041,0.968780446875246
spectrum_0_cams24_vmag8.90.pow,FALSE,True,True,3733.363852579339,28.186039284301906,144.71428571428572,5.158730158730165,1.16851833538017,0.0653425794125269,1.0036634767590082,0.0169594490349649,spectrum_0,3485.8577711832254,144.55817828985252,1.041,0.968780446875246
spectrum_0_cams24_vmag10.14.pow,FALSE,False,False,,,,,,,,,spectrum_0,3485.8577711832254,144.55817828985252,1.041,0.968780446875246
spectrum_1_cams24_vmag7.68.pow,TRUE,True,True,3111.1626347021647,13.348245313712436,134.36507936507937,5.587301587301582,0.9678035264810526,0.0599889257790023,0.9903499219654944,0.0189378470156441,spectrum_1,3135.520634736988,134.4620379977023,1.092,1.0330261590510406
spectrum_1_cams24_vmag7.77.pow,TRUE,True,True,3060.599793034341,20.17507249480704,129.015873015873,5.365079365079367,1.0839562682560486,0.0678883158451443,1.0567178340293224,0.0204637972989944,spectrum_1,3135.520634736988,134.4620379977023,1.092,1.0330261590510406
spectrum_1_cams24_vmag8.96.pow,FALSE,True,True,3177.865119006663,23.09807158984301,135.23809523809524,3.746031746031747,1.005020472480893,0.0615042732772907,0.9985645701881828,0.0188096964414685,spectrum_1,3135.520634736988,134.4620379977023,1.092,1.0330261590510406
spectrum_1_cams24_vmag9.77.pow,FALSE,True,False,3011.7243191490534,53.23925973951744,,,,,,,spectrum_1,3135.520634736988,134.4620379977023,1.092,1.0330261590510406
spectrum_1_cams24_vmag9.79.pow,FALSE,True,True,3114.568347509797,56.92906859755396,146.22222222222223,66.5873015873016,0.6923166670786686,0.0428537593847685,0.8371627374282861,0.0159659431717009,spectrum_1,3135.520634736988,134.4620379977023,1.092,1.0330261590510406
spectrum_1_cams24_vmag9.95.pow,FALSE,False,True,,,141.33333333333334,8.253968253968253,,,,,spectrum_1,3135.520634736988,134.4620379977023,1.092,1.0330261590510406
spectrum_2_cams24_vmag7.76.pow,FALSE,True,False,3814.3918255713297,20.64466223046376,,,,,,,spectrum_2,3835.39116233824,156.51151357720448,0.985,0.9020240464275452
spectrum_2_cams24_vmag7.81.pow,FALSE,True,True,3730.304301964939,24.98388667378592,160.46031746031747,4.460317460317455,0.8363565222302192,0.046745518434954,0.8380487157566439,0.0141328639172001,spectrum_2,3835.39116233824,156.51151357720448,0.985,0.9020240464275452
spectrum_2_cams24_vmag7.97.pow,MAYBE,True,True,3706.481596904816,33.88495171534777,160.47619047619048,4.539682539682531,0.8201105013346851,0.0459901898354924,0.8325319968940635,0.0140968728976768,spectrum_2,3835.39116233824,156.51151357720448,0.985,0.9020240464275452
spectrum_2_cams24_vmag8.33.pow,FALSE,True,True,3828.630155799792,30.699620994296257,161.3968253968254,5.396825396825392,0.8834450624231318,0.0487228302195495,0.8501855855928206,0.0141042057819233,spectrum_2,3835.39116233824,156.51151357720448,0.985,0.9020240464275452
spectrum_2_cams24_vmag8.43.pow,FALSE,True,True,3924.642434388926,23.381441913567592,159.9206349206349,3.253968253968253,0.9872144815440222,0.0537818913769183,0.8876696728681849,0.0145069464524744,spectrum_2,3835.39116233824,156.51151357720448,0.985,0.9020240464275452
spectrum_2_cams24_vmag9.29.pow,FALSE,True,True,4014.821559678018,26.82253087470204,156.28571428571428,4.730158730158735,1.1586462707294376,0.0624400820565667,0.9507973916819696,0.0153361514464153,spectrum_2,3835.39116233824,156.51151357720448,0.985,0.9020240464275452
spectrum_3_cams24_vmag7.55.pow,TRUE,True,True,3262.172974351948,15.980790807062627,143.2698412698413,5.269841269841265,0.8652389321561398,0.0521128998513247,0.9140979002469044,0.0168858148616789,spectrum_3,3290.86194207133,138.47590745681657,1.062,1.003603710647561
spectrum_3_cams24_vmag7.98.pow,TRUE,True,True,3244.654530253113,18.25676840548457,141.57142857142858,2.539682539682545,0.892970569221597,0.0539581615101328,0.9311347163116034,0.0172692420554062,spectrum_3,3290.86194207133,138.47590745681657,1.062,1.003603710647561
spectrum_3_cams24_vmag8.63.pow,FALSE,True,True,3271.460355925565,25.9052275398986,138.33333333333334,5.9365079365079225,1.0040418902728716,0.0603918377297373,0.98329371479577,0.0181436547906377,spectrum_3,3290.86194207133,138.47590745681657,1.062,1.003603710647561
spectrum_3_cams24_vmag8.73.pow,FALSE,True,True,3246.244792699257,20.7458549880065,140.06349206349208,5.555555555555543,0.9334223881367694,0.0563916505601545,0.95175825289638,0.0176502013471121,spectrum_3,3290.86194207133,138.47590745681657,1.062,1.003603710647561
spectrum_3_cams24_vmag8.79.pow,FALSE,True,True,3236.186435152993,69.78961925672506,142.63492063492063,5.206349206349216,0.8598671456063722,0.0520341254681822,0.9149072917026284,0.0169960259784121,spectrum_3,3290.86194207133,138.47590745681657,1.062,1.003603710647561
spectrum_3_cams24_vmag10.24.pow,FALSE,False,False,,,,,,,,,spectrum_3,3290.86194207133,138.47590745681657,1.062,1.003603710647561
spectrum_4_cams24_vmag7.66.pow,TRUE,True,True,3461.073594734362,22.2386980533088,152.20634920634922,4.206349206349216,0.8154232842851344,0.0474630323241829,0.8607751822607489,0.0152560165282947,spectrum_4,3497.918313222337,146.80988757261622,1.02,0.9523576745189324
spectrum_4_cams24_vmag7.87.pow,TRUE,True,True,3482.4554176020074,19.07178244606885,150.9206349206349,4.92063492063491,0.8592981653646617,0.0498503237699355,0.8809124732124222,0.0155522476518087,spectrum_4,3497.918313222337,146.80988757261622,1.02,0.9523576745189324
spectrum_4_cams24_vmag8.00.pow,TRUE,True,True,3437.337912679794,23.88082845592024,152.0952380952381,6.095238095238102,0.8010984647486596,0.0468082898303709,0.8561215623639811,0.0152434723502195,spectrum_4,3497.918313222337,146.80988757261622,1.02,0.9523576745189324
spectrum_4_cams24_vmag9.50.pow,FALSE,True,True,3349.196150836689,45.7948957640374,149.7301587301587,5.523809523809518,0.7889805432681704,0.0467866987175348,0.8607290378917124,0.0156010846096066,spectrum_4,3497.918313222337,146.80988757261622,1.02,0.9523576745189324
spectrum_4_cams24_vmag9.63.pow,FALSE,True,True,3398.629691889578,45.59903084580392,148.47619047619048,3.0,0.8526405056241912,0.0501470812478225,0.8882488550105658,0.0159444007702598,spectrum_4,3497.918313222337,146.80988757261622,1.02,0.9523576745189324
spectrum_4_cams24_vmag9.99.pow,FALSE,False,False,,,,,,,,,spectrum_4,3497.918313222337,146.80988757261622,1.02,0.9523576745189324
spectrum_5_cams24_vmag7.49.pow,TRUE,True,True,3217.9191672722595,47.36293493784944,146.25396825396825,0.7936507936507837,0.764173202164005,0.0463878012608945,0.8650529853766318,0.0161241336501983,spectrum_5,3530.2841528801323,147.8267359500456,1.013,0.945811788425163
spectrum_5_cams24_vmag7.66.pow,TRUE,True,True,3494.656638107492,13.129249951075645,149.9206349206349,3.920634920634925,0.8864718079570323,0.051330719665204,0.8940557100634917,0.015750248475816,spectrum_5,3530.2841528801323,147.8267359500456,1.013,0.945811788425163
