filename,snr,gaussian,spacings,nu_max,error nu_max,delta nu,error delta nu,mass guess,mass error,radius guess,radius error,spectrum_base,actual_nu_max,actual_delta_nu,actual_mass,actual_radius
spectrum_0_cams24_vmag8.34.pow,MAYBE,True,True,3550.7754767858905,25.76913413963624,145.9206349206349,2.857142857142861,0.97248517807328,0.0558374181747453,0.9388590640371404,0.0163782408411056,spectrum_0,3485.8577711832254,144.55817828985252,1.041,0.968780446875246
spectrum_0_cams24_vmag8.41.pow,FALSE,True,True,3433.4038778320005,50.16510375346802,149.04761904761904,3.4603174603174693,0.807708599644452,0.0472325853173917,0.8701325611850933,0.0155117797811404,spectrum_0,3485.8577711832254,144.55817828985252,1.041,0.968780446875246
spectrum_0_cams24_vmag8.47.pow,FALSE,True,False,3525.9376261471266,19.16133431487285,,,,,,,spectrum_0,3485.8577711832254,144.55817828985252,1.041,0.968780446875246
spectrum_0_cams24_vmag8.85.pow,FALSE,True,True,3508.9732299003176,23.682073577737253,147.2698412698413,2.38095238095238,0.90461771483118,0.0522722225646674,0.910883909587382,0.0160102635653971,spectrum_0,3485.8577711832254,144.55817828985252,1.041,0.968780446875246
spectrum_0_cams24_vmag9.72.pow,FALSE,False,False,,,,,,,,,spectrum_0,3485.8577711832254,144.55817828985252,1.041,0.968780446875246
spectrum_0_cams24_vmag10.38.pow,FALSE,False,True,,,150.74603174603175,41.57142857142857,,,,,spectrum_0,3485.8577711832254,144.55817828985252,1.041,0.968780446875246
spectrum_1_cams24_vmag8.19.pow,TRUE,True,True,3100.6747642567475,11.304171122915822,139.55555555555554,5.555555555555543,0.82327482165677,0.0511177168837845,0.91495711380117,0.0175225307770889,spectrum_1,3135.520634736988,134.4620379977023,1.092,1.0330261590510406
spectrum_1_cams24_vmag8.48.pow,TRUE,True,True,3089.9205741407163,18.21929870795349,135.4920634920635,2.555555555555557,0.9169617710075498,0.0570699164256235,0.9672937587614032,0.0185831702291725,spectrum_1,3135.520634736988,134.4620379977023,1.092,1.0330261590510406
spectrum_1_cams24_vmag8.93.pow,MAYBE,True,True,2916.660612174911,26.92181956164292,139.015873015873,5.19047619047619,0.6959288395212193,0.044886754306551,0.8673530248278208,0.0173617742289704,spectrum_1,3135.520634736988,134.4620379977023,1.092,1.0330261590510406
spectrum_1_cams24_vmag9.48.pow,FALSE,True,True,3191.596624823254,15.985707447467856,134.3968253968254,5.587301587301596,1.0438369343522558,0.0637201235372913,1.015473886869488,0.0190738029872192,spectrum_1,3135.520634736988,134.4620379977023,1.092,1.0330261590510406
spectrum_1_cams24_vmag9.53.pow,FALSE,True,True,3114.4304685796187,61.43754501956164,139.4920634920635,5.809523809523796,0.835800511527702,0.0517566293833884,0.9198529919108734,0.017561344721541,spectrum_1,3135.520634736988,134.4620379977023,1.092,1.0330261590510406
spectrum_1_cams24_vmag10.15.pow,FALSE,True,False,3359.863909914043,92.14739065687904,,,,,,,spectrum_1,3135.520634736988,134.4620379977023,1.092,1.0330261590510406
spectrum_2_cams24_vmag7.49.pow,TRUE,True,True,3842.751356691923,20.44310997113178,159.79365079365078,2.793650793650798,0.9296469101261706,0.0511800957589219,0.8705296030270772,0.0144120965806486,spectrum_2,3835.39116233824,156.51151357720448,0.985,0.9020240464275452
spectrum_2_cams24_vmag7.57.pow,TRUE,True,True,3822.498333929736,16.60622171101112,162.28571428571428,4.793650793650784,0.860102088133263,0.0474717673744911,0.8395508777998911,0.0139399339890606,spectrum_2,3835.39116233824,156.51151357720448,0.985,0.9020240464275452
spectrum_2_cams24_vmag8.34.pow,FALSE,True,True,3852.595222655902,23.260579821779107,160.38095238095238,4.38095238095238,0.9231626943189642,0.0507563379753228,0.8663793722179942,0.0143195600496966,spectrum_2,3835.39116233824,156.51151357720448,0.985,0.9020240464275452
spectrum_2_cams24_vmag8.70.pow,FALSE,True,True,3741.492648502165,35.610119811289444,156.20634920634922,4.968253968253976,0.9396566949061096,0.0524494778663055,0.8869677505196746,0.0149386304353067,spectrum_2,3835.39116233824,156.51151357720448,0.985,0.9020240464275452
spectrum_2_cams24_vmag9.28.pow,FALSE,True,False,3691.444593640287,35.04266492129265,,,,,,,spectrum_2,3835.39116233824,156.51151357720448,0.985,0.9020240464275452
spectrum_2_cams24_vmag10.37.pow,FALSE,False,False,,,,,,,,,spectrum_2,3835.39116233824,156.51151357720448,0.985,0.9020240464275452
spectrum_3_cams24_vmag7.14.pow,TRUE,True,True,3264.266588588573,14.02975802938595,142.984126984127,5.396825396825392,0.8738557785222539,0.0526131211412549,0.918343695861018,0.0169575316246871,spectrum_3,3290.86194207133,138.47590745681657,1.062,1.003603710647561
spectrum_3_cams24_vmag7.30.pow,TRUE,True,True,3238.0138628674363,15.07491071546036,143.68253968253967,5.6825396825396695,0.836477653254286,0.0505988122011465,0.9021235025945364,0.0167492269262253,spectrum_3,3290.86194207133,138.47590745681657,1.062,1.003603710647561
spectrum_3_cams24_vmag9.01.pow,FALSE,True,True,3210.939455708125,11.370959809397805,140.9206349206349,5.6825396825396695,0.8815200617536069,0.0535964889219621,0.929989873470664,0.0173750800497214,spectrum_3,3290.86194207133,138.47590745681657,1.062,1.003603710647561
spectrum_3_cams24_vmag9.29.pow,FALSE,True,True,3289.2680037895293,33.5297661063769,142.88888888888889,6.0,0.8964749527774853,0.0537366903222371,0.926611375535962,0.0170210770528757,spectrum_3,3290.86194207133,138.47590745681657,1.062,1.003603710647561
spectrum_3_cams24_vmag9.41.pow,FALSE,True,False,3291.713035606714,29.14374288524153,,,,,,,spectrum_3,3290.86194207133,138.47590745681657,1.062,1.003603710647561
