filename,snr,gaussian,spacings,nu_max,error nu_max,delta nu,error delta nu,mass guess,mass error,radius guess,radius error
spectrum_13_cams24_vmag8.99.pow,FALSE,,,,,,,,,,
spectrum_13_cams24_vmag9.54.pow,FALSE,,,,,,,,,,
spectrum_13_cams24_vmag9.86.pow,FALSE,,,,,,,,,,
spectrum_14_cams24_vmag8.08.pow,TRUE,,,3465.13,137.311,,,,,,
spectrum_14_cams24_vmag9.25.pow,FALSE,,,,,,,,,,
spectrum_14_cams24_vmag9.44.pow,FALSE,,,,,,,,,,
spectrum_14_cams24_vmag9.69.pow,FALSE,,,,,,,,,,
spectrum_14_cams24_vmag9.96.pow,FALSE,,,,,,,,,,
spectrum_15_cams24_vmag7.89.pow,TRUE,,,3056.754,166.701,,,,,,
spectrum_15_cams24_vmag8.01.pow,TRUE,,,3105.477,116.591,,,,,,
spectrum_15_cams24_vmag8.09.pow,TRUE,,,3100.13,160.877,,,,,,
spectrum_15_cams24_vmag9.54.pow,FALSE,,,,,,,,,,
spectrum_15_cams24_vmag10.03.pow,FALSE,,,,,,,,,,
spectrum_15_cams24_vmag10.15.pow,FALSE,,,,,,,,,,
spectrum_16_cams24_vmag8.37.pow,FALSE,,,,,,,,,,
spectrum_16_cams24_vmag10.00.pow,FALSE,,,,,,,,,,
spectrum_16_cams24_vmag10.06.pow,FALSE,,,,,,,,,,
spectrum_16_cams24_vmag10.08.pow,FALSE,,,,,,,,,,
spectrum_16_cams24_vmag10.11.pow,FALSE,,,,,,,,,,
spectrum_16_cams24_vmag10.50.pow,FALSE,,,,,,,,,,
spectrum_17_cams24_vmag7.71.pow,TRUE,,,3976.852,165.16,,,,,,
spectrum_17_cams24_vmag8.94.pow,FALSE,,,,,,,,,,
spectrum_17_cams24_vmag9.00.pow,FALSE,,,,,,,,,,
spectrum_17_cams24_vmag9.29.pow,FALSE,,,,,,,,,,
spectrum_17_cams24_vmag9.58.pow,FALSE,,,,,,,,,,
spectrum_17_cams24_vmag10.22.pow,FALSE,,,,,,,,,,
spectrum_18_cams24_vmag7.25.pow,TRUE,,,3400.374,211.582,,,,,,
spectrum_18_cams24_vmag7.71.pow,TRUE,,,3427.852,242.338,,,,,,
spectrum_18_cams24_vmag8.48.pow,TRUE,,,3415.416,98.18,,,,,,
spectrum_18_cams24_vmag9.94.pow,FALSE,,,,,,,,,,
spectrum_18_cams24_vmag10.12.pow,FALSE,,,,,,,,,,
spectrum_18_cams24_vmag10.38.pow,FALSE,,,,,,,,,,
spectrum_19_cams24_vmag8.39.pow,MAYBE,,,,,,,,,,
spectrum_19_cams24_vmag8.42.pow,FALSE,,,,,,,,,,
spectrum_19_cams24_vmag9.23.pow,FALSE,,,,,,,,,,
spectrum_19_cams24_vmag9.36.pow,FALSE,,,,,,,,,,
spectrum_19_cams24_vmag10.19.pow,FALSE,,,,,,,,,,
spectrum_20_cams24_vmag7.39.pow,TRUE,,,2774.987,417.416,,,,,,
spectrum_20_cams24_vmag7.42.pow,TRUE,,,2769.773,445.325,,,,,,
spectrum_20_cams24_vmag8.27.pow,TRUE,,,2907.165,381.021,,,,,,
spectrum_20_cams24_vmag8.44.pow,TRUE,,,3018.611,192.629,,,,,,
spectrum_20_cams24_vmag8.76.pow,MAYBE,,,,,,,,,,
spectrum_20_cams24_vmag9.31.pow,FALSE,,,,,,,,,,
spectrum_21_cams24_vmag7.34.pow,TRUE,,,3646.266,165.42,,,,,,
spectrum_21_cams24_vmag8.28.pow,MAYBE,,,,,,,,,,
spectrum_21_cams24_vmag8.31.pow,MAYBE,,,,,,,,,,
spectrum_21_cams24_vmag8.64.pow,FALSE,,,,,,,,,,
spectrum_21_cams24_vmag9.17.pow,FALSE,,,,,,,,,,
spectrum_21_cams24_vmag9.79.pow,FALSE,,,,,,,,,,
spectrum_22_cams24_vmag8.15.pow,MAYBE,,,,,,,,,,
spectrum_22_cams24_vmag8.53.pow,MAYBE,,,,,,,,,,
spectrum_22_cams24_vmag8.62.pow,FALSE,,,,,,,,,,
spectrum_22_cams24_vmag8.77.pow,FALSE,,,,,,,,,,
spectrum_22_cams24_vmag9.91.pow,FALSE,,,,,,,,,,
spectrum_22_cams24_vmag10.41.pow,FALSE,,,,,,,,,,
spectrum_23_cams24_vmag7.36.pow,TRUE,,,3335.912,170.089,,,,,,
spectrum_23_cams24_vmag7.40.pow,TRUE,,,3343.142,177.501,,,,,,
