filename,snr,gaussian,spacings,nu_max,error nu_max,delta nu,error delta nu,mass guess,mass error,radius guess,radius error,spectrum_base,actual_nu_max,actual_delta_nu,actual_mass,actual_radius
spectrum_0_cams24_vmag7.51.pow,TRUE,True,True,3448.1495388449066,20.04642931331714,145.42857142857142,3.619047619047621,0.9026918514369556,0.0526722971800303,0.9179039293583516,0.0163260996529987,spectrum_0,3485.8577711832254,144.55817828985252,1.041,0.968780446875246
spectrum_0_cams24_vmag7.89.pow,TRUE,True,True,3497.131612373473,38.820196034602205,146.03174603174602,3.047619047619037,0.9262474334841488,0.0536253490980383,0.9232685332178888,0.0162673696970307,spectrum_0,3485.8577711832254,144.55817828985252,1.041,0.968780446875246
spectrum_0_cams24_vmag8.11.pow,MAYBE,True,True,3521.2335827837856,28.122056687271865,149.22222222222223,5.222222222222214,0.8672228067922289,0.0500102219315632,0.8903042400294647,0.0156078859949966,spectrum_0,3485.8577711832254,144.55817828985252,1.041,0.968780446875246
spectrum_0_cams24_vmag9.10.pow,FALSE,True,True,3222.925902889764,42.34276535564128,147.71428571428572,3.809523809523796,0.6925341051459304,0.0419972167076416,0.8316027875255181,0.0154806340874233,spectrum_0,3485.8577711832254,144.55817828985252,1.041,0.968780446875246
spectrum_0_cams24_vmag9.40.pow,FALSE,True,True,3540.65526572941,93.83639229055623,148.15873015873015,4.666666666666657,0.907239898953812,0.0521647548420527,0.90811272796524,0.0158655396911054,spectrum_0,3485.8577711832254,144.55817828985252,1.041,0.968780446875246
spectrum_0_cams24_vmag10.27.pow,FALSE,False,False,,,,,,,,,spectrum_0,3485.8577711832254,144.55817828985252,1.041,0.968780446875246
spectrum_1_cams24_vmag7.99.pow,TRUE,True,True,3144.874047771172,12.099689076516906,137.015873015873,5.269841269841265,0.9244660151974852,0.0569216261612169,0.9627206239253324,0.0182617261336486,spectrum_1,3135.520634736988,134.4620379977023,1.092,1.0330261590510406
spectrum_1_cams24_vmag9.41.pow,FALSE,True,True,3084.82032158248,24.617093829542465,140.25396825396825,6.3174603174603305,0.7946825890653066,0.0494944196080762,0.9012356052326932,0.0173207720883639,spectrum_1,3135.520634736988,134.4620379977023,1.092,1.0330261590510406
spectrum_1_cams24_vmag9.66.pow,FALSE,True,True,2993.0901577816985,64.35918633793234,138.34920634920636,4.476190476190482,0.7666857961972022,0.0486534223680653,0.8986803339548962,0.0176549375905803,spectrum_1,3135.520634736988,134.4620379977023,1.092,1.0330261590510406
spectrum_1_cams24_vmag9.78.pow,FALSE,True,False,3095.281587849275,80.4795986932891,,,,,,,spectrum_1,3135.520634736988,134.4620379977023,1.092,1.0330261590510406
spectrum_1_cams24_vmag9.87.pow,FALSE,True,True,3143.704771005553,18.819764106401674,153.5079365079365,7.317460317460316,0.5860931379418273,0.0360622404026597,0.7666883602742948,0.0145119616304534,spectrum_1,3135.520634736988,134.4620379977023,1.092,1.0330261590510406
spectrum_1_cams24_vmag9.94.pow,FALSE,False,False,,,,,,,,,spectrum_1,3135.520634736988,134.4620379977023,1.092,1.0330261590510406
